type,question,A,B,C,D,answer
Structure,________ raining when we left the building.,It was,There was,It is,There is,A
Structure,Not only he but also his friends ______ late.,is,are,was,be,B
Structure,Each of the students ______ a schedule.,has,have,having,to have,A
Structure,The teacher made the students ______ quiet.,be,to be,being,been,A
Structure,She said that she ______ to the party.,will go,go,would go,goes,C
Structure,John as well as his brothers ______ going to the game tonight.,are,is,was,have,B
Structure,The book or the pens ______ on the table.,is,am,are,was,A
Structure,Neither the teacher nor the students ______ present in the room.,was,were,has,have,B
Structure,He suggested that she ______ the doctor.,see,sees,saw,seeing,A
Structure,If I had known earlier, I ______ you.,would help,helped,would have helped,will help,C
Structure,They asked me where ______.,I live,I lived,I am living,I has lived,B
Structure,The man ______ here since Monday.,has been,have been,was,were,A
Structure,Hard work and discipline ______ the key to success.,is,are,was,has,A
Structure,One of the boys who ______ in my class ______ absent today.,studies,is study,study,studies,C
Structure,By the time we arrived, the movie ______.,had started,started,was starting,has started,A
Structure,She enjoys ______ books more than watching TV.,reading,read,reads,to read,A
Structure,He was accused of ______ the rules.,break,breaking,broke,broken,B
Structure,The children were made ______ quietly.,to sit,sit,sitting,sat,A
Structure,This is the town ______ I was born.,which,in which,where,B and C,D
Structure,She is the girl ______ won the competition.,who,whom,whose,which,A
Written Expression,Every student need to bring their own laptop.,were,need,sing,needs,B
Written Expression,He don’t like vegetables at all.,don’t,was,are,were,A
Written Expression,She can sings well and dance gracefully.,needs,sings,are,sing,B
Written Expression,There is several mistakes in your essay.,sing,needs,are,is,D
Written Expression,The students in the class was very talkative during the lecture.,was,needs,were,doesn't,A
Written Expression,The boy with all his toys are under the bed.,with,all,are,the bed,C
Written Expression,He don’t know how to use the new software.,don’t,how,software,know,A
Written Expression,We has already discussed the plan for the project.,has,discussed,plan,project,A
Written Expression,She don’t understand why he left suddenly.,don’t,understand,why,left,A
Written Expression,My brother and sister goes to different schools.,and,goes,different,schools,B
Written Expression,Although he was tired, but he continued working.,he,was,but,continued,C
Written Expression,There are less people in the office today than yesterday.,are,less,yesterday,office,B
Written Expression,The number of errors in this report are surprising.,number,errors,this,are,D
Written Expression,She enjoy reading novels and write poems.,enjoy,reading,novels,write,A
Written Expression,He have finished his homework before dinner.,have,finished,homework,before,D
Written Expression,The data shows that the experiment was successful.,data,shows,experiment,successful,A
Written Expression,Everyone are responsible for completing their task.,are,responsible,task,their,A
Written Expression,This is one of the best movie I have ever seen.,one,best,movie,seen,C
Written Expression,She doesn't likes spicy food because it hurt her stomach.,likes,because,it,hurt,A
Written Expression,The manager with his employees are attending a meeting.,manager,with,employees,are,D
Written Expression,The teacher ask the students to turn in they homework.,ask,students,turn,they,D
Written Expression,The box contain five books and ten pencils.,contain,books,and,pencils,A
Written Expression,Each of the applicants have to submit an application form.,each,applicants,have,application,B
Written Expression,She has being working on this project for two months.,has,being,working,months,B
Written Expression,The results varies depending on the method used.,results,varies,method,used,B
Written Expression,Neither of the options seem acceptable to the committee.,neither,options,seem,committee,C
Written Expression,He was suppose to arrive this morning.,was,suppose,arrive,morning,B
Written Expression,The company are planning to expand its operations overseas.,company,are,planning,its,B
Written Expression,The test, including all the bonus question, are difficult.,including,bonus,are,difficult,C
Written Expression,We was surprised by the outcome of the negotiations.,we,was,surprised,outcome,B
Written Expression,The students looks confused after the explanation.,students,looks,confused,explanation,B
Written Expression,She spend too much time on social media last week.,spend,much,time,last,A
Written Expression,Many informations are available online nowadays.,informations,are,available,online,A
Written Expression,The committee disagree about the decision they made.,committee,disagree,decision,they,C
Written Expression,She no longer live in the same city as her parents.,no,longer,live,parents,C
Written Expression,The police has identified the cause of the accident.,police,has,identified,accident,B
Written Expression,He never listens to what I am saying to him.,never,listens,to,saying,D
Written Expression,The new policy effect everyone in the organization.,policy,effect,everyone,organization,B
Written Expression,The professor teaches both graduate and undergraduate courses.,professor,teaches,graduate,courses,D
Written Expression,The cost of these products are expected to rise.,cost,products,are,rise,C
Written Expression,Each employee must complete their training by Friday.,employee,complete,their,Friday,C
Written Expression,The director, along with his staff, are leaving for New York.,director,along,staff,are,D
Written Expression,The news about the merger were shocking to many investors.,news,merger,were,investors,C
Written Expression,The team are arguing about the strategy for the upcoming match.,team,arguing,strategy,match,B
Written Expression,The package containing the documents are missing.,containing,documents,are,missing,C
Written Expression,The quality of these items are not consistent.,quality,items,are,consistent,C
Written Expression,Neither the coach nor the players is ready for the game.,coach,nor,players,is,D
Written Expression,The book, including the introduction, were interesting.,including,introduction,were,interesting,C
Written Expression,The majority of the cake have been eaten already.,majority,cake,have,eaten,C
Written Expression,The school provide free lunch to all students.,school,provide,free,students,B
Written Expression,She don’t want to participate in the event tomorrow.,don’t,participate,event,tomorrow,A
Written Expression,The car needs washed before we leave tomorrow.,needs,washed,leave,tomorrow,B
Written Expression,He has less opportunities now than he did last year.,has,opportunities,than,did,A
Written Expression,She don’t care about what other people think.,don’t,about,people,think,A
Written Expression,The children was playing outside when it started to rain.,was,playing,outside,rain,A
Written Expression,The company are looking for new employees.,company,looking,new,employees,B
Written Expression,The teacher give us a lot of homework yesterday.,give,us,a lot of,yesterday,A
Written Expression,He don’t know the answer to that question.,don’t,answer,question,that,A
Written Expression,The data show that most people prefer coffee over tea.,data,show,prefer,coffee,A
Written Expression,Each of the participants have signed the agreement.,each,participants,have,agreement,C
Written Expression,The group of students was arguing loudly in the hallway.,group,students,was,arguing,A
Written Expression,The manager with his assistant are presenting the proposal.,manager,with,assistant,are,D
Written Expression,She don’t agree with the way he treated her.,don’t,agree,way,treated,A
Written Expression,The weather seems to changes every hour.,seems,to changes,every,hour,B
Written Expression,He was suppose to finish the report yesterday.,was,suppose,finish,report,B
Written Expression,The number of complaints have increased recently.,number,complaints,have,recently,C
Written Expression,Neither of the candidates are qualified for the position.,neither,candidates,are,position,C
Written Expression,The company are investing in new technology to improve efficiency.,company,are,investing,improve,B
Written Expression,The audience were entertained by the performance of the actors.,audience,were,entertained,performance,A
Written Expression,The results of the survey is shown in the graph below.,results,survey,is,below,C
Written Expression,The library resources is available to all students.,resources,is,available,students,B
Written Expression,She don’t understand the instructions given by the instructor.,don’t,instructions,given,instructor,A
Written Expression,The list of names have not been finalized yet.,list,names,have,finalized,C
Written Expression,The child, along with his parents, were at the park.,child,along,were,park,C
Written Expression,The manager require all employees to attend the meeting.,manager,require,employees,meeting,A
Written Expression,The problem with the program are still being investigated.,problem,program,are,investigated,C
Written Expression,The information in these files are confidential.,information,files,are,confidential,C
Written Expression,Each student must submit their project by next week.,student,submit,their,project,C
Written Expression,The university offer a wide variety of courses for international students.,university,offer,variety,students,B
Structure,John as well as his brothers ______ going to the game tonight.,are,is,was,have,B
Structure,The book or the pens ______ on the table.,is,am,are,was,A
Structure,Neither the teacher nor the students ______ present in the room.,was,were,has,have,B
Structure,He suggested that she ______ the doctor.,see,sees,saw,seeing,A
Structure,If I had known earlier, I ______ you.,would help,helped,would have helped,will help,C
Structure,They asked me where ______.,I live,I lived,I am living,I has lived,B
Structure,The man ______ here since Monday.,has been,have been,was,were,A
Structure,Hard work and discipline ______ the key to success.,is,are,was,has,A
Structure,One of the boys who ______ in my class ______ absent today.,studies,is study,study,studies,C
Structure,By the time we arrived, the movie ______.,had started,started,was starting,has started,A
Structure,She enjoys ______ books more than watching TV.,reading,read,reads,to read,A
Structure,He was accused of ______ the rules.,break,breaking,broke,broken,B
Structure,The children were made ______ quietly.,to sit,sit,sitting,sat,A
Structure,This is the town ______ I was born.,which,in which,where,B and C,D
Structure,She is the girl ______ won the competition.,who,whom,whose,which,A
Structure,________ did you give the message?,Who,Whom,Whose,What,A
Structure,There is no one here ______ English.,who speak,whom speak,that speaks,which speaks,C
Structure,The car, ______ tire was flat, broke down.,which,whose,where,whom,B
Structure,She bought a dress ______ looked beautiful.,who,whom,that,whose,C
Structure,I still remember the day ______ I first met her.,when,where,why,how,A
Structure,The house ______ we visited was huge.,who,whom,whose,that,D
Structure,He gave me the book ______ he promised.,what,which,that,both B and C,D
Structure,The city ______ he lives in is famous for its museums.,who,whom,whose,which,D
Structure,This is the reason ______ he left early.,why,which,who,whom,A
Structure,She works in a company ______ makes computers.,which,who,whose,whom,A
Structure,He wants to know ______ you are coming.,if,whether,why,all of the above,D
Structure,Please tell me ______ you need help.,if,whether,why,all of the above,D
Structure,He asked me ______ I would go to the party.,if,whether,that,any of the above,D
Structure,She didn’t know ______ he was telling the truth.,if,whether,that,all of the above,D
Structure,They discussed ______ they should invest in stocks.,if,whether,that,all of the above,C
Structure,Do you know ______ this machine works?,how,what,which,whether,A
Structure,Can you explain ______ this function operates?,how,what,which,why,A
Structure,We wonder ______ he didn't come to the meeting.,why,how,what,whether,A
Structure,She asked me ______ it was necessary to attend.,if,whether,that,all of the above,D
Structure,He forgot ______ he put his keys.,where,which,why,how,A
Structure,She asked ______ we could start the meeting early.,if,whether,that,all of the above,D
Structure,They couldn’t decide ______ restaurant to choose.,which,what,how,why,A
Structure,He told me ______ important the task was.,how,what,which,whether,A
Structure,________ you study hard, you will pass the exam.,If,Unless,Although,Because,A
Structure,You will fail the test ______ you study hard.,if,unless,although,because,B
Structure,________ it was raining, we went out.,If,Unless,Although,Because,C
Structure,________ you are tired, you should rest.,Because,Unless,Although,If,A
Structure,She studied all night ______ she could pass the exam.,so that,so,for,because,A
Structure,He ran fast ______ he could catch the bus.,so that,so,for,because,A
Structure,________ he was sick, he went to work.,Although,Unless,Because,If,A
Structure,He stayed home ______ it was snowing heavily.,because,although,unless,so,A
Structure,________ you want to succeed, you must work hard.,If,Unless,Although,Because,A
Structure,________ working hard, he also helps others.,In addition to,Besides,Both A and B,However,C
Structure,________ being smart, she is also very kind.,Besides,In addition to,Both A and B,However,C
Structure,________ the rain, the event continued as planned.,Despite,Although,Even though,All of the above,D
Structure,________ being tired, he finished the project.,Despite,Although,Even though,All of the above,D
Structure,He succeeded ______ many difficulties.,despite,although,even though,all of the above,D
Structure,She continued talking ______ I asked her to stop.,even though,despite,instead of,as if,A
Structure,He acted ______ he knew everything.,like,as if,as though,both B and C,D
Structure,She looked ______ she had seen a ghost.,like,as if,as though,both B and C,D
Structure,He talked ______ he owned the company.,like,as if,as though,both B and C,D
Structure,________ studying law, he decided to become an engineer.,Instead of,In addition to,Besides,Rather than,A
Structure,________ taking the bus, we walked home.,Instead of,In addition to,Besides,Rather than,A
Structure,He prefers tea ______ coffee.,than,to,over,both B and C,D
Structure,She likes cats ______ dogs.,more than,to,over,than,A
Structure,He is taller than ______.,me,I,myself,mine,A
Structure,This is the best movie ______ I have ever seen.,which,that,who,whom,B
Structure,She is one of the girls ______ passed the test.,who,which,whom,that,A
Structure,He is the only one of my friends ______ owns a car.,who,which,that,all of the above,D
Structure,This is the most interesting book ______ I've read.,which,that,who,whom,B
Structure,She is the fastest runner ______ our school.,in,at,on,of,A
Structure,The more you practice, ______ you will improve.,the much,the more,most,much,B
Structure,The sooner we start, ______ we will arrive.,the soonest,the earliest,the sooner,the later,B
Structure,He is not only smart ______ friendly.,but also,but,also,and,A
Structure,She is both talented ______ hardworking.,and,or,not only,but also,A
Structure,He neither spoke ______ smiled during the meeting.,nor,or,not,also,A
Structure,Not only did she sing ______ she danced too.,but also,also,and,both A and C,D
Structure,He both sings ______ plays the guitar.,and,or,nor,not only,B
Structure,She neither eats meat ______ drinks alcohol.,nor,or,also,and,A
Structure,Not only the manager but also the employees ______ responsible.,is,are,was,has,B
Structure,Neither the coach nor the players ______ ready.,is,are,was,has,B
Structure,Either the director or his assistants ______ coming.,is,are,was,has,A
Structure,Both the teacher and the student ______ satisfied.,is,are,was,has,B
Structure,Each of the participants ______ given a certificate.,was,were,has,have,A
Structure,Everyone in the group ______ agreed with the decision.,was,were,has,have,A
Structure,Anyone who ______ late will be penalized.,arrives,arrive,will arrive,has arrived,A
Structure,Several students ______ missing from class yesterday.,was,were,has,have,B
Structure,Most of the cake ______ eaten already.,was,were,has,have,A
Structure,Half of the apples ______ rotten.,was,were,has,have,B
Structure,The number of errors ______ increasing.,was,were,has,have,C
Structure,The majority of the work ______ completed.,was,were,has,have,C
Structure,One third of the population ______ affected by the disease.,was,were,has,have,A
Structure,More than one person ______ injured in the accident.,was,were,has,have,A
Structure,Physics ______ my favorite subject in high school.,was,are,is,has,C
Structure,Politics ______ often a controversial topic.,was,are,is,has,C
Structure,Economics ______ a difficult subject for many students.,was,are,is,has,C
Structure,The news ______ shocking to everyone.,was,are,is,has,C
Structure,Mathematics ______ the language of science.,was,are,is,has,C
Structure,The team ______ arguing about the strategy.,was,are,is,has,B
Structure,The committee ______ discussing the proposal.,was,are,is,has,A
Structure,The public ______ divided on the issue.,was,are,is,has,B
Structure,The audience ______ enjoying the performance.,was,are,is,has,B
Structure,The jury ______ reached a verdict.,has,have,was,are,A
Structure,The police ______ investigating the crime.,has,have,was,are,B
Structure,The staff ______ preparing for the conference.,has,have,was,are,B
Structure,The crew ______ repairing the ship.,has,have,was,are,B
Structure,The faculty ______ discussing curriculum changes.,has,have,was,are,B
Structure,The crowd ______ cheering loudly for the winner.,has,have,was,are,B
Structure,The gang ______ planning their next move.,has,have,was,are,A
Structure,The flock ______ flying south for the winter.,has,have,was,are,A
Written Expression,The students in the class was very talkative during the lecture.,was,needs,were,doesn’t,A
Written Expression,She can sings well and dance gracefully.,needs,sings,are,sing,B
Written Expression,There is several mistakes in your essay.,sing,needs,are,is,D
Written Expression,He don’t like vegetables at all.,don’t,was,are,were,A
Written Expression,Every student need to bring their own laptop.,were,need,sing,needs,B
Written Expression,The data shows that most people prefer coffee over tea.,data,show,prefer,coffee,B
Written Expression,Each of the participants have signed the agreement.,each,participants,have,agreement,C
Written Expression,The group of students was arguing loudly in the hallway.,group,students,was,arguing,A
Written Expression,The manager with his assistant are presenting the proposal.,manager,with,assistant,are,D
Written Expression,She don’t agree with the way he treated her.,don’t,agree,way,treated,A
Written Expression,The weather seems to changes every hour.,seems,to changes,every,hour,B
Written Expression,He was suppose to finish the report yesterday.,was,suppose,finish,report,B
Written Expression,The number of complaints have increased recently.,number,complaints,have,recently,C
Written Expression,Neither of the candidates are qualified for the position.,neither,candidates,are,position,C
Written Expression,The company are investing in new technology to improve efficiency.,company,are,investing,improve,B
Written Expression,The audience were entertained by the performance of the actors.,audience,were,entertained,performance,A
Written Expression,The results of the survey is shown in the graph below.,results,survey,is,below,C
Written Expression,The library resources is available to all students.,resources,is,available,students,B
Written Expression,She don’t understand the instructions given by the instructor.,don’t,instructions,given,instructor,A
Written Expression,The list of names have not been finalized yet.,list,names,have,finalized,C
Written Expression,The child, along with his parents, were at the park.,child,along,were,park,C
Written Expression,The manager require all employees to attend the meeting.,manager,require,employees,meeting,A
Written Expression,The problem with the program are still being investigated.,problem,program,are,investigated,C
Written Expression,The information in these files are confidential.,information,files,are,confidential,C
Written Expression,Each student must submit their project by next week.,student,submit,their,project,C
Written Expression,The university offer a wide variety of courses for international students.,university,offer,variety,students,B
Written Expression,The director, along with his staff, are leaving for New York.,director,along,staff,are,D
Written Expression,We was surprised by the outcome of the negotiations.,we,was,surprised,outcome,B
Written Expression,The students looks confused after the explanation.,students,looks,confused,explanation,B
Written Expression,She spend too much time on social media last week.,spend,much,time,last,A
Written Expression,Many informations are available online nowadays.,informations,are,available,online,A
Written Expression,The committee disagree about the decision they made.,committee,disagree,decision,they,C
Written Expression,She no longer live in the same city as her parents.,no,longer,live,parents,C
Written Expression,The police has identified the cause of the accident.,police,has,identified,accident,B
Written Expression,He never listens to what I am saying to him.,never,listens,to,saying,D
Written Expression,The new policy effect everyone in the organization.,policy,effect,everyone,organization,B
Written Expression,The professor teaches both graduate and undergraduate courses.,professor,teaches,graduate,courses,D
Written Expression,The cost of these products are expected to rise.,cost,products,are,rise,C
Written Expression,The team are arguing about the strategy for the upcoming match.,team,arguing,strategy,match,B
Written Expression,The package containing the documents are missing.,containing,documents,are,missing,C
Written Expression,The quality of these items are not consistent.,quality,items,are,consistent,C
Written Expression,Neither the coach nor the players is ready for the game.,coach,nor,players,is,D
Written Expression,The book, including the introduction, were interesting.,including,introduction,were,interesting,C
Written Expression,The majority of the cake have been eaten already.,majority,cake,have,eaten,C
Written Expression,The school provide free lunch to all students.,school,provide,free,students,B
Written Expression,She don’t want to participate in the event tomorrow.,don’t,participate,event,tomorrow,A
Written Expression,The car needs washed before we leave tomorrow.,needs,washed,leave,tomorrow,B
Written Expression,He has less opportunities now than he did last year.,has,opportunities,than,did,A
Written Expression,She don’t care about what other people think.,don’t,about,people,think,A
Written Expression,The children was playing outside when it started to rain.,was,playing,outside,rain,A
Written Expression,The company are looking for new employees.,company,looking,new,employees,B
Written Expression,The teacher give us a lot of homework yesterday.,give,us,a lot of,yesterday,A
Written Expression,He don’t know the answer to that question.,don’t,answer,question,that,A
Written Expression,The data show that most people prefer coffee over tea.,data,show,prefer,coffee,A
Written Expression,Each of the participants have signed the agreement.,each,participants,have,agreement,C
Written Expression,The group of students was arguing loudly in the hallway.,group,students,was,arguing,A
Written Expression,The manager with his assistant are presenting the proposal.,manager,with,assistant,are,D
Written Expression,She don’t agree with the way he treated her.,don’t,agree,way,treated,A
Written Expression,The weather seems to changes every hour.,seems,to changes,every,hour,B
Written Expression,He was suppose to finish the report yesterday.,was,suppose,finish,report,B
Written Expression,The number of complaints have increased recently.,number,complaints,have,recently,C
Written Expression,Neither of the candidates are qualified for the position.,neither,candidates,are,position,C
Written Expression,The company are investing in new technology to improve efficiency.,company,are,investing,improve,B
Written Expression,The audience were entertained by the performance of the actors.,audience,were,entertained,performance,A
Written Expression,The results of the survey is shown in the graph below.,results,survey,is,below,C
Written Expression,The library resources is available to all students.,resources,is,available,students,B
Written Expression,She don’t understand the instructions given by the instructor.,don’t,instructions,given,instructor,A
Written Expression,The list of names have not been finalized yet.,list,names,have,finalized,C
Written Expression,The child, along with his parents, were at the park.,child,along,were,park,C
Written Expression,The manager require all employees to attend the meeting.,manager,require,employees,meeting,A
Written Expression,The problem with the program are still being investigated.,problem,program,are,investigated,C
Written Expression,The information in these files are confidential.,information,files,are,confidential,C
Written Expression,Each student must submit their project by next week.,student,submit,their,project,C
Written Expression,The university offer a wide variety of courses for international students.,university,offer,variety,students,B
Written Expression,The director, along with his staff, are leaving for New York.,director,along,staff,are,D
Written Expression,We was surprised by the outcome of the negotiations.,we,was,surprised,outcome,B
Written Expression,The students looks confused after the explanation.,students,looks,confused,explanation,B
Written Expression,She spend too much time on social media last week.,spend,much,time,last,A
Written Expression,Many informations are available online nowadays.,informations,are,available,online,A
Written Expression,The committee disagree about the decision they made.,committee,disagree,decision,they,C
Written Expression,She no longer live in the same city as her parents.,no,longer,live,parents,C
Written Expression,The police has identified the cause of the accident.,police,has,identified,accident,B
Written Expression,He never listens to what I am saying to him.,never,listens,to,saying,D
Written Expression,The new policy effect everyone in the organization.,policy,effect,everyone,organization,B
Written Expression,The professor teaches both graduate and undergraduate courses.,professor,teaches,graduate,courses,D
Written Expression,The cost of these products are expected to rise.,cost,products,are,rise,C
Written Expression,The team are arguing about the strategy for the upcoming match.,team,arguing,strategy,match,B
Written Expression,The package containing the documents are missing.,containing,documents,are,missing,C
Written Expression,The quality of these items are not consistent.,quality,items,are,consistent,C
Written Expression,Neither the coach nor the players is ready for the game.,coach,nor,players,is,D
Written Expression,The book, including the introduction, were interesting.,including,introduction,were,interesting,C
Written Expression,The majority of the cake have been eaten already.,majority,cake,have,eaten,C
Written Expression,The school provide free lunch to all students.,school,provide,free,students,B
Written Expression,She don’t want to participate in the event tomorrow.,don’t,participate,event,tomorrow,A
Written Expression,The car needs washed before we leave tomorrow.,needs,washed,leave,tomorrow,B
Written Expression,He has less opportunities now than he did last year.,has,opportunities,than,did,A
Written Expression,She don’t care about what other people think.,don’t,about,people,think,A
Written Expression,The children was playing outside when it started to rain.,was,playing,outside,rain,A
Written Expression,The company are looking for new employees.,company,looking,new,employees,B
Written Expression,The teacher give us a lot of homework yesterday.,give,us,a lot of,yesterday,A
Written Expression,He don’t know the answer to that question.,don’t,answer,question,that,A
Written Expression,The data show that most people prefer coffee over tea.,data,show,prefer,coffee,B
Written Expression,Each of the participants have signed the agreement.,each,participants,have,agreement,C
Written Expression,The group of students was arguing loudly in the hallway.,group,students,was,arguing,A
Written Expression,The manager with his assistant are presenting the proposal.,manager,with,assistant,are,D
Written Expression,She don’t agree with the way he treated her.,don’t,agree,way,treated,A
Written Expression,The weather seems to changes every hour.,seems,to changes,every,hour,B
Written Expression,He was suppose to finish the report yesterday.,was,suppose,finish,report,B
Written Expression,The number of complaints have increased recently.,number,complaints,have,recently,C
Written Expression,Neither of the candidates are qualified for the position.,neither,candidates,are,position,C
Written Expression,The company are investing in new technology to improve efficiency.,company,are,investing,improve,B
Written Expression,The audience were entertained by the performance of the actors.,audience,were,entertained,performance,A
Written Expression,The results of the survey is shown in the graph below.,results,survey,is,below,C
Written Expression,The library resources is available to all students.,resources,is,available,students,B
Written Expression,She don’t understand the instructions given by the instructor.,don’t,instructions,given,instructor,A
Written Expression,The list of names have not been finalized yet.,list,names,have,finalized,C
Written Expression,The child, along with his parents, were at the park.,child,along,were,park,C
Written Expression,The manager require all employees to attend the meeting.,manager,require,employees,meeting,A
Written Expression,The problem with the program are still being investigated.,problem,program,are,investigated,C
Written Expression,The information in these files are confidential.,information,files,are,confidential,C
Written Expression,Each student must submit their project by next week.,student,submit,their,project,C
Written Expression,The university offer a wide variety of courses for international students.,university,offer,variety,students,B
Structure,John as well as his brothers ______ going to the game tonight.,are,is,was,have,B
Structure,The book or the pens ______ on the table.,is,am,are,was,A
