type,question,A,B,C,D,answer
Structure,Neither the teacher nor the students ______ present in the room.,was,were,has,have,B
Structure,He suggested that she ______ the doctor.,see,sees,saw,seeing,A
Structure,If I had known earlier, I ______ you.,would help,helped,would have helped,will help,C
Structure,They asked me where ______.,I live,I lived,I am living,I has lived,B
Structure,The man ______ here since Monday.,has been,have been,was,were,A
Structure,Hard work and discipline ______ the key to success.,is,are,was,has,A
Structure,One of the boys who ______ in my class ______ absent today.,studies,is study,study,studies,C
Structure,By the time we arrived, the movie ______.,had started,started,was starting,has started,A
Structure,She enjoys ______ books more than watching TV.,reading,read,reads,to read,A
Structure,He was accused of ______ the rules.,break,breaking,broke,broken,B
Structure,The children were made ______ quietly.,to sit,sit,sitting,sat,A
Structure,This is the town ______ I was born.,which,in which,where,B and C,D
Structure,She is the girl ______ won the competition.,who,whom,whose,which,A
Structure,________ did you give the message?,Who,Whom,Whose,What,A
Structure,There is no one here ______ English.,who speak,whom speak,that speaks,which speaks,C
Structure,The car, ______ tire was flat, broke down.,which,whose,where,whom,B
Structure,She bought a dress ______ looked beautiful.,who,whom,that,whose,C
Structure,I still remember the day ______ I first met her.,when,where,why,how,A
Structure,The house ______ we visited was huge.,who,whom,whose,that,D
Structure,He gave me the book ______ he promised.,what,which,that,both B and C,D
Structure,The city ______ he lives in is famous for its museums.,who,whom,whose,which,D
Structure,This is the reason ______ he left early.,why,which,who,whom,A
Structure,She works in a company ______ makes computers.,which,who,whose,whom,A
Structure,He wants to know ______ you are coming.,if,whether,why,all of the above,D
Structure,Please tell me ______ you need help.,if,whether,why,all of the above,D
Structure,He asked me ______ I would go to the party.,if,whether,that,any of the above,D
Structure,She didn’t know ______ he was telling the truth.,if,whether,that,all of the above,D
Structure,They discussed ______ they should invest in stocks.,if,whether,that,all of the above,C
Structure,Do you know ______ this machine works?,how,what,which,whether,A
Structure,Can you explain ______ this function operates?,how,what,which,why,A
Structure,We wonder ______ he didn't come to the meeting.,why,how,what,whether,A
Structure,She asked me ______ it was necessary to attend.,if,whether,that,all of the above,D
Structure,He forgot ______ he put his keys.,where,which,why,how,A
Structure,She asked ______ we could start the meeting early.,if,whether,that,all of the above,D
Structure,They couldn’t decide ______ restaurant to choose.,which,what,how,why,A
Structure,He told me ______ important the task was.,how,what,which,whether,A
Structure,________ you study hard, you will pass the exam.,If,Unless,Although,Because,A
Structure,You will fail the test ______ you study hard.,if,unless,although,because,B
Structure,________ it was raining, we went out.,If,Unless,Although,Because,C
Structure,________ you are tired, you should rest.,Because,Unless,Although,If,A
Structure,She studied all night ______ she could pass the exam.,so that,so,for,because,A
Structure,He ran fast ______ he could catch the bus.,so that,so,for,because,A
Structure,________ he was sick, he went to work.,Although,Unless,Because,If,A
Structure,He stayed home ______ it was snowing heavily.,because,although,unless,so,A
Structure,________ you want to succeed, you must work hard.,If,Unless,Although,Because,A
Structure,________ working hard, he also helps others.,In addition to,Besides,Both A and B,However,C
Structure,________ being smart, she is also very kind.,Besides,In addition to,Both A and B,However,C
Structure,________ the rain, the event continued as planned.,Despite,Although,Even though,All of the above,D
Structure,________ being tired, he finished the project.,Despite,Although,Even though,All of the above,D
Structure,He succeeded ______ many difficulties.,despite,although,even though,all of the above,D
Structure,She continued talking ______ I asked her to stop.,even though,despite,instead of,as if,A
Structure,He acted ______ he knew everything.,like,as if,as though,both B and C,D
Structure,She looked ______ she had seen a ghost.,like,as if,as though,both B and C,D
Structure,He talked ______ he owned the company.,like,as if,as though,both B and C,D
Structure,________ studying law, he decided to become an engineer.,Instead of,In addition to,Besides,Rather than,A
Structure,________ taking the bus, we walked home.,Instead of,In addition to,Besides,Rather than,A
Structure,He prefers tea ______ coffee.,than,to,over,both B and C,D
Structure,She likes cats ______ dogs.,more than,to,over,than,A
Structure,He is taller than ______.,me,I,myself,mine,A
Structure,This is the best movie ______ I have ever seen.,which,that,who,whom,B
Structure,She is one of the girls ______ passed the test.,who,which,whom,that,A
Structure,He is the only one of my friends ______ owns a car.,who,which,that,all of the above,D
Structure,This is the most interesting book ______ I've read.,which,that,who,whom,B
Structure,She is the fastest runner ______ our school.,in,at,on,of,A
Structure,The more you practice, ______ you will improve.,the much,the more,most,much,B
Structure,The sooner we start, ______ we will arrive.,the soonest,the earliest,the sooner,the later,B
Structure,He is not only smart ______ friendly.,but also,but,also,and,A
Structure,She is both talented ______ hardworking.,and,or,not only,but also,A
Structure,He neither spoke ______ smiled during the meeting.,nor,or,not,also,A
Structure,Not only did she sing ______ she danced too.,but also,also,and,both A and C,D
Structure,He both sings ______ plays the guitar.,and,or,nor,not only,B
Structure,She neither eats meat ______ drinks alcohol.,nor,or,also,and,A
Structure,Not only the manager but also the employees ______ responsible.,is,are,was,has,B
Structure,Neither the coach nor the players ______ ready.,is,are,was,has,B
Structure,Either the director or his assistants ______ coming.,is,are,was,has,A
Structure,Both the teacher and the student ______ satisfied.,is,are,was,has,B
Structure,Each of the participants ______ given a certificate.,was,were,has,have,A
Structure,Everyone in the group ______ agreed with the decision.,was,were,has,have,A
Structure,Anyone who ______ late will be penalized.,arrives,arrive,will arrive,has arrived,A
Structure,Several students ______ missing from class yesterday.,was,were,has,have,B
Structure,Most of the cake ______ eaten already.,was,were,has,have,A
Structure,Half of the apples ______ rotten.,was,were,has,have,B
Structure,The number of errors ______ increasing.,was,were,has,have,C
Structure,The majority of the work ______ completed.,was,were,has,have,C
Structure,One third of the population ______ affected by the disease.,was,were,has,have,A
Structure,More than one person ______ injured in the accident.,was,were,has,have,A
Structure,Physics ______ my favorite subject in high school.,was,are,is,has,C
Structure,Politics ______ often a controversial topic.,was,are,is,has,C
Structure,Economics ______ a difficult subject for many students.,was,are,is,has,C
Structure,The news ______ shocking to everyone.,was,are,is,has,C
Structure,Mathematics ______ the language of science.,was,are,is,has,C
Structure,The team ______ arguing about the strategy.,was,are,is,has,B
Structure,The committee ______ discussing the proposal.,was,are,is,has,A
Structure,The public ______ divided on the issue.,was,are,is,has,B
Structure,The audience ______ enjoying the performance.,was,are,is,has,B
Structure,The jury ______ reached a verdict.,has,have,was,are,A
Structure,The police ______ investigating the crime.,has,have,was,are,B
Structure,The staff ______ preparing for the conference.,has,have,was,are,B
Structure,The crew ______ repairing the ship.,has,have,was,are,B
Structure,The faculty ______ discussing curriculum changes.,has,have,was,are,B
Structure,The crowd ______ cheering loudly for the winner.,has,have,was,are,B
Structure,The gang ______ planning their next move.,has,have,was,are,A
Structure,The flock ______ flying south for the winter.,has,have,was,are,A
Structure,John as well as his brothers ______ going to the game tonight.,are,is,was,have,B
Structure,The book or the pens ______ on the table.,is,am,are,was,A
Structure,Neither the teacher nor the students ______ present in the room.,was,were,has,have,B
Structure,He suggested that she ______ the doctor.,see,sees,saw,seeing,A
Structure,If I had known earlier, I ______ you.,would help,helped,would have helped,will help,C
Structure,They asked me where ______.,I live,I lived,I am living,I has lived,B
Structure,The man ______ here since Monday.,has been,have been,was,were,A
Structure,Hard work and discipline ______ the key to success.,is,are,was,has,A
Structure,One of the boys who ______ in my class ______ absent today.,studies,is study,study,studies,C
Structure,By the time we arrived, the movie ______.,had started,started,was starting,has started,A
Structure,She enjoys ______ books more than watching TV.,reading,read,reads,to read,A
Structure,He was accused of ______ the rules.,break,breaking,broke,broken,B
Structure,The children were made ______ quietly.,to sit,sit,sitting,sat,A
Structure,This is the town ______ I was born.,which,in which,where,B and C,D
Structure,She is the girl ______ won the competition.,who,whom,whose,which,A
Structure,________ did you give the message?,Who,Whom,Whose,What,A
Structure,There is no one here ______ English.,who speak,whom speak,that speaks,which speaks,C
Structure,The car, ______ tire was flat, broke down.,which,whose,where,whom,B
Structure,She bought a dress ______ looked beautiful.,who,whom,that,whose,C
Structure,I still remember the day ______ I first met her.,when,where,why,how,A
Structure,The house ______ we visited was huge.,who,whom,whose,that,D
Structure,He gave me the book ______ he promised.,what,which,that,both B and C,D
Structure,The city ______ he lives in is famous for its museums.,who,whom,whose,which,D
Structure,This is the reason ______ he left early.,why,which,who,whom,A
Structure,She works in a company ______ makes computers.,which,who,whose,whom,A
Structure,He wants to know ______ you are coming.,if,whether,why,all of the above,D
Structure,Please tell me ______ you need help.,if,whether,why,all of the above,D
Structure,He asked me ______ I would go to the party.,if,whether,that,any of the above,D
Structure,She didn’t know ______ he was telling the truth.,if,whether,that,all of the above,D
Structure,They discussed ______ they should invest in stocks.,if,whether,that,all of the above,C
Structure,Do you know ______ this machine works?,how,what,which,whether,A
Structure,Can you explain ______ this function operates?,how,what,which,why,A
Structure,We wonder ______ he didn't come to the meeting.,why,how,what,whether,A
Structure,She asked me ______ it was necessary to attend.,if,whether,that,all of the above,D
Structure,He forgot ______ he put his keys.,where,which,why,how,A
Structure,She asked ______ we could start the meeting early.,if,whether,that,all of the above,D
Structure,They couldn’t decide ______ restaurant to choose.,which,what,how,why,A
Structure,He told me ______ important the task was.,how,what,which,whether,A
Structure,________ you study hard, you will pass the exam.,If,Unless,Although,Because,A
Structure,You will fail the test ______ you study hard.,if,unless,although,because,B
Structure,________ it was raining, we went out.,If,Unless,Although,Because,C
Structure,________ you are tired, you should rest.,Because,Unless,Although,If,A
Structure,She studied all night ______ she could pass the exam.,so that,so,for,because,A
Structure,He ran fast ______ he could catch the bus.,so that,so,for,because,A
Structure,________ he was sick, he went to work.,Although,Unless,Because,If,A
Structure,He stayed home ______ it was snowing heavily.,because,although,unless,so,A
Structure,________ you want to succeed, you must work hard.,If,Unless,Although,Because,A
Structure,________ working hard, he also helps others.,In addition to,Besides,Both A and B,However,C
Structure,________ being smart, she is also very kind.,Besides,In addition to,Both A and B,However,C
Structure,________ the rain, the event continued as planned.,Despite,Although,Even though,All of the above,D
Structure,________ being tired, he finished the project.,Despite,Although,Even though,All of the above,D
Structure,He succeeded ______ many difficulties.,despite,although,even though,all of the above,D
Structure,She continued talking ______ I asked her to stop.,even though,despite,instead of,as if,A
Structure,He acted ______ he knew everything.,like,as if,as though,both B and C,D
Structure,She looked ______ she had seen a ghost.,like,as if,as though,both B and C,D
Structure,He talked ______ he owned the company.,like,as if,as though,both B and C,D
Structure,________ studying law, he decided to become an engineer.,Instead of,In addition to,Besides,Rather than,A
Structure,________ taking the bus, we walked home.,Instead of,In addition to,Besides,Rather than,A
Structure,He prefers tea ______ coffee.,than,to,over,both B and C,D
Structure,She likes cats ______ dogs.,more than,to,over,than,A
Structure,He is taller than ______.,me,I,myself,mine,A
Structure,This is the best movie ______ I have ever seen.,which,that,who,whom,B
Structure,She is one of the girls ______ passed the test.,who,which,whom,that,A
Structure,He is the only one of my friends ______ owns a car.,who,which,that,all of the above,D
Structure,This is the most interesting book ______ I've read.,which,that,who,whom,B
Structure,She is the fastest runner ______ our school.,in,at,on,of,A
Structure,The more you practice, ______ you will improve.,the much,the more,most,much,B
Structure,The sooner we start, ______ we will arrive.,the soonest,the earliest,the sooner,the later,B
Structure,He is not only smart ______ friendly.,but also,but,also,and,A
Structure,She is both talented ______ hardworking.,and,or,not only,but also,A
Structure,He neither spoke ______ smiled during the meeting.,nor,or,not,also,A
Structure,Not only did she sing ______ she danced too.,but also,also,and,both A and C,D
Structure,He both sings ______ plays the guitar.,and,or,nor,not only,B
Structure,She neither eats meat ______ drinks alcohol.,nor,or,also,and,A
Structure,Not only the manager but also the employees ______ responsible.,is,are,was,has,B
Structure,Neither the coach nor the players ______ ready.,is,are,was,has,B
Structure,Either the director or his assistants ______ coming.,is,are,was,has,A
Structure,Both the teacher and the student ______ satisfied.,is,are,was,has,B
Structure,Each of the participants ______ given a certificate.,was,were,has,have,A
Structure,Everyone in the group ______ agreed with the decision.,was,were,has,have,A
Structure,Anyone who ______ late will be penalized.,arrives,arrive,will arrive,has arrived,A
Structure,Several students ______ missing from class yesterday.,was,were,has,have,B
Structure,Most of the cake ______ eaten already.,was,were,has,have,A
Structure,Half of the apples ______ rotten.,was,were,has,have,B
Structure,The number of errors ______ increasing.,was,were,has,have,C
Structure,The majority of the work ______ completed.,was,were,has,have,C
Structure,One third of the population ______ affected by the disease.,was,were,has,have,A
Structure,More than one person ______ injured in the accident.,was,were,has,have,A
Structure,Physics ______ my favorite subject in high school.,was,are,is,has,C
Structure,Politics ______ often a controversial topic.,was,are,is,has,C
Structure,Economics ______ a difficult subject for many students.,was,are,is,has,C
Structure,The news ______ shocking to everyone.,was,are,is,has,C
Structure,Mathematics ______ the language of science.,was,are,is,has,C
Structure,The team ______ arguing about the strategy.,was,are,is,has,B
Structure,The committee ______ discussing the proposal.,was,are,is,has,A
Structure,The public ______ divided on the issue.,was,are,is,has,B
Structure,The audience ______ enjoying the performance.,was,are,is,has,B
Structure,The jury ______ reached a verdict.,has,have,was,are,A
Structure,The police ______ investigating the crime.,has,have,was,are,B
Structure,The staff ______ preparing for the conference.,has,have,was,are,B
Structure,The crew ______ repairing the ship.,has,have,was,are,B
Structure,The faculty ______ discussing curriculum changes.,has,have,was,are,B
Structure,The crowd ______ cheering loudly for the winner.,has,have,was,are,B
Structure,The gang ______ planning their next move.,has,have,was,are,A
Structure,The flock ______ flying south for the winter.,has,have,was,are,A
Structure,The children were made ______ quietly.,to sit,sit,sitting,sat,A
Structure,This is the town ______ I was born.,which,in which,where,B and C,D
Structure,She is the girl ______ won the competition.,who,whom,whose,which,A
Structure,________ did you give the message?,Who,Whom,Whose,What,A
Structure,There is no one here ______ English.,who speak,whom speak,that speaks,which speaks,C
Structure,The car, ______ tire was flat, broke down.,which,whose,where,whom,B
Structure,She bought a dress ______ looked beautiful.,who,whom,that,whose,C
Structure,I still remember the day ______ I first met her.,when,where,why,how,A
Structure,The house ______ we visited was huge.,who,whom,whose,that,D
Structure,He gave me the book ______ he promised.,what,which,that,both B and C,D
Structure,The city ______ he lives in is famous for its museums.,who,whom,whose,which,D
Structure,This is the reason ______ he left early.,why,which,who,whom,A
Structure,She works in a company ______ makes computers.,which,who,whose,whom,A
Structure,He wants to know ______ you are coming.,if,whether,why,all of the above,D
Structure,Please tell me ______ you need help.,if,whether,why,all of the above,D
Structure,He asked me ______ I would go to the party.,if,whether,that,any of the above,D
Structure,She didn’t know ______ he was telling the truth.,if,whether,that,all of the above,D
Structure,They discussed ______ they should invest in stocks.,if,whether,that,all of the above,C
Structure,Do you know ______ this machine works?,how,what,which,whether,A
Structure,Can you explain ______ this function operates?,how,what,which,why,A
Structure,We wonder ______ he didn't come to the meeting.,why,how,what,whether,A
Structure,She asked me ______ it was necessary to attend.,if,whether,that,all of the above,D
Structure,He forgot ______ he put his keys.,where,which,why,how,A
Structure,She asked ______ we could start the meeting early.,if,whether,that,all of the above,D
Structure,They couldn’t decide ______ restaurant to choose.,which,what,how,why,A
Structure,He told me ______ important the task was.,how,what,which,whether,A
Structure,________ you study hard, you will pass the exam.,If,Unless,Although,Because,A
Structure,You will fail the test ______ you study hard.,if,unless,although,because,B
Structure,________ it was raining, we went out.,If,Unless,Although,Because,C
Structure,________ you are tired, you should rest.,Because,Unless,Although,If,A
Structure,She studied all night ______ she could pass the exam.,so that,so,for,because,A
Structure,He ran fast ______ he could catch the bus.,so that,so,for,because,A
Structure,________ he was sick, he went to work.,Although,Unless,Because,If,A
Structure,He stayed home ______ it was snowing heavily.,because,although,unless,so,A
Structure,________ you want to succeed, you must work hard.,If,Unless,Although,Because,A
Structure,________ working hard, he also helps others.,In addition to,Besides,Both A and B,However,C
Structure,________ being smart, she is also very kind.,Besides,In addition to,Both A and B,However,C
Structure,________ the rain, the event continued as planned.,Despite,Although,Even though,All of the above,D
Structure,________ being tired, he finished the project.,Despite,Although,Even though,All of the above,D
Structure,He succeeded ______ many difficulties.,despite,although,even though,all of the above,D
Structure,She continued talking ______ I asked her to stop.,even though,despite,instead of,as if,A
Structure,He acted ______ he knew everything.,like,as if,as though,both B and C,D
Structure,She looked ______ she had seen a ghost.,like,as if,as though,both B and C,D
Structure,He talked ______ he owned the company.,like,as if,as though,both B and C,D
Structure,________ studying law, he decided to become an engineer.,Instead of,In addition to,Besides,Rather than,A
Structure,________ taking the bus, we walked home.,Instead of,In addition to,Besides,Rather than,A
Structure,He prefers tea ______ coffee.,than,to,over,both B and C,D
Structure,She likes cats ______ dogs.,more than,to,over,than,A
Structure,He is taller than ______.,me,I,myself,mine,A
Structure,This is the best movie ______ I have ever seen.,which,that,who,whom,B
Structure,She is one of the girls ______ passed the test.,who,which,whom,that,A
Structure,He is the only one of my friends ______ owns a car.,who,which,that,all of the above,D
Structure,This is the most interesting book ______ I've read.,which,that,who,whom,B
Structure,She is the fastest runner ______ our school.,in,at,on,of,A
Structure,The more you practice, ______ you will improve.,the much,the more,most,much,B
Structure,The sooner we start, ______ we will arrive.,the soonest,the earliest,the sooner,the later,B
Structure,He is not only smart ______ friendly.,but also,but,also,and,A
Structure,She is both talented ______ hardworking.,and,or,not only,but also,A
Structure,He neither spoke ______ smiled during the meeting.,nor,or,not,also,A
Structure,Not only did she sing ______ she danced too.,but also,also,and,both A and C,D
Structure,He both sings ______ plays the guitar.,and,or,nor,not only,B
Structure,She neither eats meat ______ drinks alcohol.,nor,or,also,and,A
Structure,Not only the manager but also the employees ______ responsible.,is,are,was,has,B
Structure,Neither the coach nor the players ______ ready.,is,are,was,has,B
Structure,Either the director or his assistants ______ coming.,is,are,was,has,A
Structure,Both the teacher and the student ______ satisfied.,is,are,was,has,B
Structure,Each of the participants ______ given a certificate.,was,were,has,have,A
Structure,Everyone in the group ______ agreed with the decision.,was,were,has,have,A
Structure,Anyone who ______ late will be penalized.,arrives,arrive,will arrive,has arrived,A
Structure,Several students ______ missing from class yesterday.,was,were,has,have,B
Structure,Most of the cake ______ eaten already.,was,were,has,have,A
Structure,Half of the apples ______ rotten.,was,were,has,have,B
Structure,The number of errors ______ increasing.,was,were,has,have,C
Structure,The majority of the work ______ completed.,was,were,has,have,C
Structure,One third of the population ______ affected by the disease.,was,were,has,have,A
Structure,More than one person ______ injured in the accident.,was,were,has,have,A
Structure,Physics ______ my favorite subject in high school.,was,are,is,has,C
Structure,Politics ______ often a controversial topic.,was,are,is,has,C
Structure,Economics ______ a difficult subject for many students.,was,are,is,has,C
Structure,The news ______ shocking to everyone.,was,are,is,has,C
Structure,Mathematics ______ the language of science.,was,are,is,has,C
Structure,The team ______ arguing about the strategy.,was,are,is,has,B
Structure,The committee ______ discussing the proposal.,was,are,is,has,A
Structure,The public ______ divided on the issue.,was,are,is,has,B
Structure,The audience ______ enjoying the performance.,was,are,is,has,B
Structure,The jury ______ reached a verdict.,has,have,was,are,A
Structure,The police ______ investigating the crime.,has,have,was,are,B
Structure,The staff ______ preparing for the conference.,has,have,was,are,B
Structure,The crew ______ repairing the ship.,has,have,was,are,B
Structure,The faculty ______ discussing curriculum changes.,has,have,was,are,B
Structure,The crowd ______ cheering loudly for the winner.,has,have,was,are,B
Structure,The gang ______ planning their next move.,has,have,was,are,A
Structure,The flock ______ flying south for the winter.,has,have,was,are,A
Written Expression,The teacher gave the students a test yesterday.,teacher,test,students,yesterday,A
Written Expression,He don’t understand why she left suddenly.,don’t,understand,why,left,A
Written Expression,She doesn't likes coffee because it taste bitter.,likes,because,taste,bitter,C
Written Expression,Everyone in the group are responsible for the mistake.,in,are,responsible,mistake,B
Written Expression,The new policy effect everyone in the organization.,policy,effect,everyone,organization,B
Written Expression,The university offer many programs for international students.,university,offer,many,students,B
Written Expression,Each student must submit their project by next week.,student,submit,their,project,C
Written Expression,The cost of these products are expected to rise.,cost,products,are,rise,C
Written Expression,The team are arguing about the strategy for the match.,team,arguing,strategy,match,B
Written Expression,The package containing the documents are missing.,containing,documents,are,missing,C
Written Expression,The quality of these items are not consistent.,quality,items,are,consistent,C
Written Expression,Neither the coach nor the players is ready.,coach,nor,players,is,D
Written Expression,The book, including the introduction, were interesting.,including,introduction,were,interesting,C
Written Expression,The majority of the cake have been eaten already.,majority,cake,have,eaten,C
Written Expression,The school provide free lunch to all students.,school,provide,free,students,B
Written Expression,She don’t want to participate in the event tomorrow.,don’t,participate,event,tomorrow,A
Written Expression,The car needs washed before we leave tomorrow.,needs,washed,leave,tomorrow,B
Written Expression,He has less opportunities now than he did last year.,has,opportunities,than,did,A
Written Expression,She don’t care about what other people think.,don’t,about,people,think,A
Written Expression,The children was playing outside when it started to rain.,was,playing,outside,rain,A
Written Expression,The company are looking for new employees.,company,looking,new,employees,B
Written Expression,The teacher give us a lot of homework yesterday.,give,us,a lot of,yesterday,A
Written Expression,He don’t know the answer to that question.,don’t,answer,question,that,A
Written Expression,The data show that most people prefer coffee over tea.,data,show,prefer,coffee,A
Written Expression,Each of the participants have signed the agreement.,each,participants,have,agreement,C
Written Expression,The group of students was arguing loudly in the hallway.,group,students,was,arguing,A
Written Expression,The manager with his assistant are presenting the proposal.,manager,with,assistant,are,D
Written Expression,She don’t agree with the way he treated her.,don’t,agree,way,treated,A
Written Expression,The weather seems to changes every hour.,seems,to changes,every,hour,B
Written Expression,He was suppose to finish the report yesterday.,was,suppose,finish,report,B
Written Expression,The number of complaints have increased recently.,number,complaints,have,recently,C
Written Expression,Neither of the candidates are qualified for the position.,neither,candidates,are,position,C
Written Expression,The company are investing in new technology to improve efficiency.,company,are,investing,improve,B
Written Expression,The audience were entertained by the performance of the actors.,audience,were,entertained,performance,A
Written Expression,The results of the survey is shown in the graph below.,results,survey,is,below,C
Structure,________ you study hard, you will pass the exam.,If,Unless,Although,Because,A
Structure,You will fail the test ______ you study hard.,if,unless,although,because,B
Structure,________ it was raining, we went out.,If,Unless,Although,Because,C
Structure,________ you are tired, you should rest.,Because,Unless,Although,If,A
Structure,She studied all night ______ she could pass the exam.,so that,so,for,because,A
Structure,He ran fast ______ he could catch the bus.,so that,so,for,because,A
Structure,________ he was sick, he went to work.,Although,Unless,Because,If,A
Structure,He stayed home ______ it was snowing heavily.,because,although,unless,so,A
Structure,________ you want to succeed, you must work hard.,If,Unless,Although,Because,A
Structure,________ working hard, he also helps others.,In addition to,Besides,Both A and B,However,C
Structure,________ being smart, she is also very kind.,Besides,In addition to,Both A and B,However,C
Structure,________ the rain, the event continued as planned.,Despite,Although,Even though,All of the above,D
Structure,________ being tired, he finished the project.,Despite,Although,Even though,All of the above,D
Structure,He succeeded ______ many difficulties.,despite,although,even though,all of the above,D
Structure,She continued talking ______ I asked her to stop.,even though,despite,instead of,as if,A
Structure,He acted ______ he knew everything.,like,as if,as though,both B and C,D
Structure,She looked ______ she had seen a ghost.,like,as if,as though,both B and C,D
Structure,He talked ______ he owned the company.,like,as if,as though,both B and C,D
Structure,________ studying law, he decided to become an engineer.,Instead of,In addition to,Besides,Rather than,A
Structure,________ taking the bus, we walked home.,Instead of,In addition to,Besides,Rather than,A
Structure,He prefers tea ______ coffee.,than,to,over,both B and C,D
Structure,She likes cats ______ dogs.,more than,to,over,than,A
Structure,He is taller than ______.,me,I,myself,mine,A
Structure,This is the best movie ______ I have ever seen.,which,that,who,whom,B
Structure,She is one of the girls ______ passed the test.,who,which,whom,that,A
Structure,He is the only one of my friends ______ owns a car.,who,which,that,all of the above,D
Structure,This is the most interesting book ______ I've read.,which,that,who,whom,B
Structure,She is the fastest runner ______ our school.,in,at,on,of,A
Structure,The more you practice, ______ you will improve.,the much,the more,most,much,B
Structure,The sooner we start, ______ we will arrive.,the soonest,the earliest,the sooner,the later,B
Structure,He is not only smart ______ friendly.,but also,but,also,and,A
Structure,She is both talented ______ hardworking.,and,or,not only,but also,A
Structure,He neither spoke ______ smiled during the meeting.,nor,or,not,also,A
